"run_id";"date";"parent_run_id";"status";"accepted_or_rejected";"main_parameter";"main_from";"main_to";"dependent_parameter";"dependent_from";"dependent_to";"expected_effect";"notes";"run_dir";"decision_type";"accepted_for_followup";"promoted_to_baseline";"validation_phase";"next_validation_phase";"process_reliability_score";"analyst_quality_score";"coordinator_quality_score";"research_effectiveness_score";"overall_agent_score";"research_value";"branch_health";"learning_signal";"stagnation_risk";"main_friction";"recommended_next_action";"strategy_family";"profile_mode";"min_spy_channel_r2";"max_avg_profile_distance";"enable_close_vs_sma50_filter";"max_close_vs_sma50_pct";"top_candidates_next_week";"top_similar_spy_weeks";"w4_status";"w4_requested_weeks";"w4_actual_weeks_run";"w4_depth_ok";"w4_weeks_run";"w4_weeks_traded";"w4_weeks_skipped_by_gates";"w4_weeks_blocked_by_spy_channel_r2_gate";"w4_weeks_blocked_by_avg_profile_distance_gate";"w4_weeks_blocked_by_both_gates";"w4_trades";"w4_wins";"w4_losses";"w4_ties";"w4_win_rate";"w4_avg_net_return_pct";"w4_total_net_pnl_dollars";"w4_spy_compare";"w8_status";"w8_requested_weeks";"w8_actual_weeks_run";"w8_depth_ok";"w8_weeks_run";"w8_weeks_traded";"w8_weeks_skipped_by_gates";"w8_weeks_blocked_by_spy_channel_r2_gate";"w8_weeks_blocked_by_avg_profile_distance_gate";"w8_weeks_blocked_by_both_gates";"w8_trades";"w8_wins";"w8_losses";"w8_ties";"w8_win_rate";"w8_avg_net_return_pct";"w8_total_net_pnl_dollars";"w8_spy_compare";"w24_status";"w24_requested_weeks";"w24_actual_weeks_run";"w24_depth_ok";"w24_weeks_run";"w24_weeks_traded";"w24_weeks_skipped_by_gates";"w24_weeks_blocked_by_spy_channel_r2_gate";"w24_weeks_blocked_by_avg_profile_distance_gate";"w24_weeks_blocked_by_both_gates";"w24_trades";"w24_wins";"w24_losses";"w24_ties";"w24_win_rate";"w24_avg_net_return_pct";"w24_total_net_pnl_dollars";"w24_spy_compare";"w52_status";"w52_requested_weeks";"w52_actual_weeks_run";"w52_depth_ok";"w52_weeks_run";"w52_weeks_traded";"w52_weeks_skipped_by_gates";"w52_weeks_blocked_by_spy_channel_r2_gate";"w52_weeks_blocked_by_avg_profile_distance_gate";"w52_weeks_blocked_by_both_gates";"w52_trades";"w52_wins";"w52_losses";"w52_ties";"w52_win_rate";"w52_avg_net_return_pct";"w52_total_net_pnl_dollars";"w52_spy_compare";"w156_status";"w156_requested_weeks";"w156_actual_weeks_run";"w156_depth_ok";"w156_weeks_run";"w156_weeks_traded";"w156_weeks_skipped_by_gates";"w156_weeks_blocked_by_spy_channel_r2_gate";"w156_weeks_blocked_by_avg_profile_distance_gate";"w156_weeks_blocked_by_both_gates";"w156_trades";"w156_wins";"w156_losses";"w156_ties";"w156_win_rate";"w156_avg_net_return_pct";"w156_total_net_pnl_dollars";"w156_spy_compare"
"EXP_001";"2026-04-07 15:59:07";"BASELINE_CLEAN";"run_partial_valid";"rejected";"ENABLE_CLOSE_VS_SMA50_FILTER";"False";"True";"MAX_CLOSE_VS_SMA50_PCT";"1.5";"0.5";"Menor ruido de basket, con posible costo de frecuencia.";"decision_type=rejected, promotion_reason=, Muy baja frecuencia en 52 semanas.";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_001_260407133658";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"10";"6";"0";"4";"0,6";"";"246";"4,41595441052";"";"";"";"";"";"3";"";"";"";"";"15";"8";"2";"5";"0,533333333333333";"";"314";"2,87480241439";"";"";"";"";"";"16";"";"";"";"";"80";"20";"31";"29";"0,25";"";"328";"0,409760772026";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_002";"2026-04-07 16:58:34";"BASELINE_CLEAN";"run_partial_valid";"accepted";"PROFILE_MODE";"p25_p75";"zscore_distance";"ENABLE_AVG_PROFILE_DISTANCE_GATE";"True";"False";"Aislar impacto del nuevo PROFILE_MODE sin sesgo de gate no recalibrado.";"decision_type=accepted_for_followup, promotion_reason=Pendiente validación robusta en ventana larga real. No se reinicia initial_test_queue, corrida utilizable como parent., Aceptado para seguimiento, pendiente validación de ventana larga real., No se promueve baseline sin validar profundidad real de 156 semanas (actual=52)., Regla global aplicada: 4/8/24/52 validas + 156 insufficient_depth => parent util y sin reinicio de cola inicial.";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_002_260407160742";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"20";"11";"5";"4";"0,55";"";"222";"1,78619859724";"";"";"";"";"";"6";"";"";"";"";"25";"14";"6";"5";"0,56";"";"365";"1,3757347678";"";"";"";"";"";"30";"";"";"";"";"145";"53";"47";"45";"0,36551724137931";"";"1661,7015";"1,69080827705";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_003";"2026-04-07 17:41:03";"EXP_002";"run_partial_valid";"rejected";"TOP_SIMILAR_SPY_WEEKS";"20.0";"16";"";"";"";"Ajuste de estabilidad del matching con impacto gradual.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_003_260407171020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"20";"9";"6";"5";"0,45";"";"152";"1,08619859724";"";"";"";"";"";"6";"";"";"";"";"25";"11";"8";"6";"0,44";"";"170";"-0,184265232205";"";"";"";"";"";"30";"";"";"";"";"145";"43";"52";"50";"0,296551724137931";"";"877";"0,608461380495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_004";"2026-04-07 18:26:11";"EXP_002";"run_partial_valid";"rejected";"TOP_SIMILAR_SPY_WEEKS";"20.0";"16";"";"";"";"Ajuste de estabilidad del matching con impacto gradual.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_004_260407175258";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"20";"9";"6";"5";"0,45";"";"152";"1,08619859724";"";"";"";"";"";"6";"";"";"";"";"25";"11";"8";"6";"0,44";"";"170";"-0,184265232205";"";"";"";"";"";"30";"";"";"";"";"145";"43";"52";"50";"0,296551724137931";"";"877";"0,608461380495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_005";"2026-04-07 19:11:10";"EXP_002";"run_partial_valid";"rejected";"TOP_SIMILAR_SPY_WEEKS";"20.0";"16";"";"";"";"Ajuste de estabilidad del matching con impacto gradual.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_005_260407183805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"20";"9";"6";"5";"0,45";"";"152";"1,08619859724";"";"";"";"";"";"6";"";"";"";"";"25";"11";"8";"6";"0,44";"";"170";"-0,184265232205";"";"";"";"";"";"30";"";"";"";"";"145";"43";"52";"50";"0,296551724137931";"";"877";"0,608461380495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_006";"2026-04-07 20:01:07";"EXP_002";"run_partial_valid";"rejected";"TOP_SIMILAR_SPY_WEEKS";"20.0";"16";"";"";"";"Ajuste de estabilidad del matching con impacto gradual.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_006_260407192312";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"20";"9";"6";"5";"0,45";"";"152";"1,08619859724";"";"";"";"";"";"6";"";"";"";"";"25";"11";"8";"6";"0,44";"";"170";"-0,184265232205";"";"";"";"";"";"30";"";"";"";"";"145";"43";"52";"50";"0,296551724137931";"";"877";"0,608461380495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_007";"2026-04-07 21:01:49";"EXP_002";"run_partial_valid";"rejected";"TOP_CANDIDATES_NEXT_WEEK";"5.0";"2";"";"";"";"Cambio directo en cantidad de trades semanales.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_007_260407200820";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"8";"5";"2";"1";"0,625";"";"110,8";"2,33619859724";"";"";"";"";"";"6";"";"";"";"";"10";"7";"2";"1";"0,7";"";"181";"2,0757347678";"";"";"";"";"";"30";"";"";"";"";"58";"22";"19";"17";"0,379310344827586";"";"545,8";"1,2808751736";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_008";"2026-04-07 21:54:56";"EXP_002";"run_partial_valid";"rejected";"TOP_CANDIDATES_NEXT_WEEK";"5.0";"4";"";"";"";"Cambio directo en cantidad de trades semanales.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_008_260407210831";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"16";"9";"4";"3";"0,5625";"";"151,6";"1,46119859724";"";"";"";"";"";"6";"";"";"";"";"20";"12";"5";"3";"0,6";"";"292";"1,3757347678";"";"";"";"";"";"30";"";"";"";"";"116";"39";"42";"35";"0,336206896551724";"";"846,6";"0,858461380495";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_009";"2026-04-07 22:09:01";"EXP_002";"blocked_duplicate";"rejected";"TOP_CANDIDATES_NEXT_WEEK";"5.0";"2";"";"";"";"Cambio directo en cantidad de trades semanales.";"Configuracion ya probada en EXP_007_260407200820";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_009_260407220843";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EXP_010";"2026-04-07 22:53:36";"EXP_002";"run_partial_valid";"rejected";"TOP_CANDIDATES_NEXT_WEEK";"5.0";"3";"";"";"";"Cambio directo en cantidad de trades semanales.";"decision_type=rejected, promotion_reason=, Empeora contra ultima corrida valida en PnL y spy_compare (52w).";"C:\Pythons\ML-Trading\Base_Archivos_SPY\multi_agent_runs\EXP_010_260407220919";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"12";"8";"2";"2";"0,666666666666667";"";"181,2";"2,58619859724";"";"";"";"";"";"6";"";"";"";"";"15";"11";"2";"2";"0,733333333333333";"";"349";"3,10906810113";"";"";"";"";"";"30";"";"";"";"";"87";"31";"30";"26";"0,35632183908046";"";"721,2";"1,05673724256";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
